cell,aggregator,experiment,client_id,client_name,client_prevalence,n_seeds,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std
trimmed_mean:E4_attack_straggler,trimmed_mean,E4_attack_straggler,1,client1_surgical,0.11502,10,0.967376,0.000668,0.862633,0.001082,0.71505,0.008216
trimmed_mean:E4_attack_straggler,trimmed_mean,E4_attack_straggler,2,client2_cardiac,0.06914,10,0.967777,0.000851,0.804977,0.001747,0.632409,0.008637
median:E1_gradient_scaling,median,E1_gradient_scaling,0,client0_medical,0.16113,10,0.946106,0.000368,0.828487,0.000901,0.676782,0.005589
median:E1_gradient_scaling,median,E1_gradient_scaling,1,client1_surgical,0.11502,10,0.967496,0.000245,0.861768,0.000912,0.717103,0.010755
median:E1_gradient_scaling,median,E1_gradient_scaling,2,client2_cardiac,0.06914,10,0.979544,0.000403,0.846787,0.001189,0.685667,0.010396
median:E2_free_rider,median,E2_free_rider,0,client0_medical,0.16113,10,0.949313,0.000399,0.837028,0.000981,0.668469,0.006977
median:E2_free_rider,median,E2_free_rider,1,client1_surgical,0.11502,10,0.968111,0.000833,0.862863,0.001496,0.716995,0.009203
median:E2_free_rider,median,E2_free_rider,2,client2_cardiac,0.06914,10,0.976743,0.000653,0.831201,0.002759,0.647343,0.014403
median:E4_attack_straggler,median,E4_attack_straggler,0,client0_medical,0.16113,10,0.932541,0.000304,0.797449,0.000609,0.669127,0.003696
median:E4_attack_straggler,median,E4_attack_straggler,1,client1_surgical,0.11502,10,0.96701,0.00079,0.862461,0.001262,0.712453,0.00873
median:E4_attack_straggler,median,E4_attack_straggler,2,client2_cardiac,0.06914,10,0.96801,0.000698,0.805766,0.00154,0.63208,0.012705
fltrust:E1_gradient_scaling,fltrust,E1_gradient_scaling,0,client0_medical,0.16113,10,0.936888,0.000376,0.804607,0.0012,0.664261,0.004505
fltrust:E1_gradient_scaling,fltrust,E1_gradient_scaling,1,client1_surgical,0.11502,10,0.967713,0.000609,0.862943,0.000813,0.721128,0.007406
fltrust:E1_gradient_scaling,fltrust,E1_gradient_scaling,2,client2_cardiac,0.06914,10,0.973207,0.000481,0.819344,0.001269,0.643866,0.009806
fltrust:E2_free_rider,fltrust,E2_free_rider,0,client0_medical,0.16113,10,0.849743,0.010212,0.556976,0.03553,0.51836,0.038171
fltrust:E2_free_rider,fltrust,E2_free_rider,1,client1_surgical,0.11502,10,0.888435,0.015008,0.583383,0.046778,0.550841,0.046043
fltrust:E2_free_rider,fltrust,E2_free_rider,2,client2_cardiac,0.06914,10,0.8903,0.016674,0.523929,0.058152,0.506582,0.047871
fltrust:E4_attack_straggler,fltrust,E4_attack_straggler,0,client0_medical,0.16113,10,0.936064,0.000457,0.803223,0.00107,0.669273,0.004911
fltrust:E4_attack_straggler,fltrust,E4_attack_straggler,1,client1_surgical,0.11502,10,0.967705,0.000633,0.8629,0.000777,0.720649,0.00749
fltrust:E4_attack_straggler,fltrust,E4_attack_straggler,2,client2_cardiac,0.06914,10,0.971027,0.0006,0.812088,0.001212,0.638099,0.010422
nodetect:E1_gradient_scaling,nodetect,E1_gradient_scaling,0,client0_medical,0.16113,10,0.935093,0.000548,0.802166,0.000732,0.672894,0.003909
nodetect:E1_gradient_scaling,nodetect,E1_gradient_scaling,1,client1_surgical,0.11502,10,0.967433,0.000638,0.863114,0.001122,0.708933,0.007827
nodetect:E1_gradient_scaling,nodetect,E1_gradient_scaling,2,client2_cardiac,0.06914,10,0.970998,0.000458,0.81612,0.001431,0.637765,0.011307
nodetect:E2_free_rider,nodetect,E2_free_rider,0,client0_medical,0.16113,10,0.779352,0.01495,0.405184,0.021719,0.314341,0.048433
nodetect:E2_free_rider,nodetect,E2_free_rider,1,client1_surgical,0.11502,10,0.827356,0.01423,0.414076,0.042643,0.362004,0.057211
nodetect:E2_free_rider,nodetect,E2_free_rider,2,client2_cardiac,0.06914,10,0.835573,0.018001,0.347826,0.037645,0.321698,0.055446
nodetect:E4_attack_straggler,nodetect,E4_attack_straggler,0,client0_medical,0.16113,10,0.934245,0.000362,0.800904,0.000619,0.671318,0.004058
nodetect:E4_attack_straggler,nodetect,E4_attack_straggler,1,client1_surgical,0.11502,10,0.967467,0.000698,0.863637,0.001184,0.71112,0.008632
nodetect:E4_attack_straggler,nodetect,E4_attack_straggler,2,client2_cardiac,0.06914,10,0.968386,0.000634,0.807361,0.001427,0.632248,0.013337
nodetect:E6_honest_straggler,nodetect,E6_honest_straggler,0,client0_medical,0.16113,10,0.951975,0.000396,0.844651,0.000698,0.683234,0.007052
nodetect:E6_honest_straggler,nodetect,E6_honest_straggler,1,client1_surgical,0.11502,10,0.968054,0.000394,0.864836,0.001482,0.70966,0.010869
nodetect:E6_honest_straggler,nodetect,E6_honest_straggler,2,client2_cardiac,0.06914,10,0.977375,0.000584,0.83313,0.001562,0.653126,0.009043
cliponly:E1_gradient_scaling,cliponly,E1_gradient_scaling,0,client0_medical,0.16113,10,0.937378,0.000474,0.805742,0.00081,0.673071,0.005207
cliponly:E1_gradient_scaling,cliponly,E1_gradient_scaling,1,client1_surgical,0.11502,10,0.968203,0.000496,0.864383,0.001007,0.702489,0.007318
cliponly:E1_gradient_scaling,cliponly,E1_gradient_scaling,2,client2_cardiac,0.06914,10,0.973256,0.000354,0.821856,0.001293,0.632388,0.011193
cliponly:E2_free_rider,cliponly,E2_free_rider,0,client0_medical,0.16113,10,0.824889,0.009508,0.472932,0.021488,0.424421,0.039786
cliponly:E2_free_rider,cliponly,E2_free_rider,1,client1_surgical,0.11502,10,0.872742,0.010847,0.522664,0.040126,0.474393,0.046766
cliponly:E2_free_rider,cliponly,E2_free_rider,2,client2_cardiac,0.06914,10,0.877946,0.011597,0.440701,0.035029,0.436551,0.041795
cliponly:E4_attack_straggler,cliponly,E4_attack_straggler,0,client0_medical,0.16113,10,0.936279,0.000465,0.804352,0.000771,0.675148,0.005038
cliponly:E4_attack_straggler,cliponly,E4_attack_straggler,1,client1_surgical,0.11502,10,0.968283,0.000551,0.864688,0.001135,0.702175,0.007713
cliponly:E4_attack_straggler,cliponly,E4_attack_straggler,2,client2_cardiac,0.06914,10,0.969257,0.00046,0.808891,0.001369,0.627558,0.012607
cliponly:E6_honest_straggler,cliponly,E6_honest_straggler,0,client0_medical,0.16113,10,0.951955,0.000401,0.844597,0.000766,0.683145,0.00681
cliponly:E6_honest_straggler,cliponly,E6_honest_straggler,1,client1_surgical,0.11502,10,0.968051,0.000382,0.864788,0.001552,0.709761,0.010438
cliponly:E6_honest_straggler,cliponly,E6_honest_straggler,2,client2_cardiac,0.06914,10,0.977383,0.000449,0.832904,0.001333,0.653107,0.009071
gateonly:E1_gradient_scaling,gateonly,E1_gradient_scaling,0,client0_medical,0.16113,10,0.936065,0.000791,0.803448,0.001075,0.674327,0.004531
gateonly:E1_gradient_scaling,gateonly,E1_gradient_scaling,1,client1_surgical,0.11502,10,0.967684,0.000595,0.863174,0.001207,0.705031,0.007415
gateonly:E1_gradient_scaling,gateonly,E1_gradient_scaling,2,client2_cardiac,0.06914,10,0.971652,0.000454,0.81728,0.001614,0.634299,0.011703
gateonly:E2_free_rider,gateonly,E2_free_rider,0,client0_medical,0.16113,10,0.875208,0.009622,0.63138,0.036198,0.582779,0.022351
gateonly:E2_free_rider,gateonly,E2_free_rider,1,client1_surgical,0.11502,10,0.914104,0.011075,0.662404,0.03489,0.607876,0.034983
