sweep_id,experiment,beta,gamma,threshold_flag,threshold_quarantine,clip_ratio,mean_auroc_r8_10,detection_rate,false_positive_rate,round1_auroc_drop
sweep2_thresholds,E4,0.35,0.65,0.16,0.325,2.0,0.957833,1.0,0.125,0.008
sweep2_thresholds,E4,0.35,0.65,0.16,0.35,2.0,0.957467,1.0,0.125,0.008
sweep2_thresholds,E4,0.35,0.65,0.16,0.375,2.0,0.9552,1.0,0.625,0.008
sweep2_thresholds,E4,0.35,0.65,0.16,0.4,2.0,0.9552,1.0,0.625,0.008
sweep2_thresholds,E4,0.35,0.65,0.16,0.425,2.0,0.9552,1.0,0.625,0.008
sweep2_thresholds,E4,0.35,0.65,0.16,0.45,2.0,0.9552,1.0,0.625,0.008
sweep2_thresholds,E4,0.35,0.65,0.16,0.475,2.0,0.9552,1.0,0.625,0.008
sweep2_thresholds,E4,0.35,0.65,0.16,0.5,2.0,0.9552,1.0,0.625,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.25,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.275,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.3,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.325,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.35,2.0,0.957467,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.375,2.0,0.955967,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.4,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.425,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.45,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.475,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.18,0.5,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.25,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.275,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.3,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.325,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.35,2.0,0.957467,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.375,2.0,0.955967,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.4,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.425,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.45,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.475,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.2,0.5,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.25,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.275,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.3,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.325,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.35,2.0,0.957467,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.375,2.0,0.955967,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.4,2.0,0.955733,1.0,0.0,0.008
