run_id,mode,round,client_id,train_batches,train_loss,val_batches,val_auroc,val_auprc,val_f1,activation_bytes,gradient_bytes,train_duration_sec,val_duration_sec
20260623_164252,option_b,1,0,200,1.135361199080944,113,0.9490232620006821,0.8302229587048406,0.4051075739023964,1638400,1638400,3.7923996000317857,0.9339856999577023
20260623_164252,option_b,1,1,200,0.7170575824379921,74,0.9636142517306819,0.8556656843242019,0.5841526894158473,1638400,1638400,3.6981529000331648,0.5461343999486417
20260623_164252,option_b,1,2,200,0.6767341761291027,103,0.9743377483443708,0.8348928017789053,0.5880721220527045,1638400,1638400,3.4572701000142843,0.7627649000496604
20260623_164252,option_b,2,0,200,0.6954183907806873,113,0.9429939478327809,0.8166545160907148,0.6326034063260341,1638400,1638400,3.6736248999950476,0.8960898999939673
20260623_164252,option_b,2,1,200,0.5417721880972386,74,0.9669597911599355,0.8496964381098967,0.7015250544662309,1638400,1638400,3.465842799982056,0.5899496999918483
20260623_164252,option_b,2,2,200,0.4449270762503147,103,0.9738619179225113,0.8161008470425807,0.6292645943896892,1638400,1638400,3.5196415000245906,0.8151078000082634
20260623_164252,option_b,3,0,200,0.5711524498462677,113,0.943985826863019,0.8222602162590875,0.6682258603407952,1638400,1638400,3.6539795999997295,0.9138339000055566
20260623_164252,option_b,3,1,200,0.4399021717905998,74,0.9669887472268996,0.8482292743948341,0.7085137085137085,1638400,1638400,3.7611766000045463,0.5759933000081219
20260623_164252,option_b,3,2,200,0.3724689507484436,103,0.9761367784324974,0.8272329529167444,0.6468285043069695,1638400,1638400,3.771764000004623,0.78563060000306
20260623_164252,option_b,4,0,200,0.5734786111116409,113,0.9461382588380461,0.8248805163143073,0.6790918332768553,1638400,1638400,3.794867299962789,0.9017652000184171
20260623_164252,option_b,4,1,200,0.41441877543926237,74,0.9675184205133687,0.8519326160587296,0.6951566951566952,1638400,1638400,3.569947699957993,0.629998299991712
20260623_164252,option_b,4,2,200,0.34174025401473046,103,0.9755881611652847,0.8267263846006873,0.6284853051996986,1638400,1638400,3.7082014000043273,0.7968151000095531
20260623_164252,option_b,5,0,200,0.5396631534397602,113,0.9466342337294058,0.8255362027840851,0.6765698852126941,1638400,1638400,4.138738200010266,0.941631999972742
20260623_164252,option_b,5,1,200,0.3879275468736887,74,0.9682677144308127,0.8544262090088632,0.7363566487317448,1638400,1638400,3.8082071999670006,0.6074700999888591
20260623_164252,option_b,5,2,200,0.3244801639020443,103,0.9762638838191584,0.8273665870309732,0.6559485530546624,1638400,1638400,3.652728000015486,0.7869381000055
20260623_164252,option_b,6,0,200,0.532752872928977,113,0.9475034987101822,0.8287592290815815,0.6592356687898089,1638400,1638400,4.463610199978575,0.9486201999825425
20260623_164252,option_b,6,1,200,0.3686031511425972,74,0.9670760609057457,0.8497032189144186,0.7091988130563798,1638400,1638400,3.9470389999914914,0.6673022000468336
20260623_164252,option_b,6,2,200,0.3108085484802723,103,0.9768671817512877,0.834348983984583,0.6441717791411042,1638400,1638400,3.9384508000221103,0.847623499983456
20260623_164252,option_b,7,0,200,0.5514465065300465,113,0.9475633553090541,0.8294522074856665,0.6683988307892172,1638400,1638400,3.876323299948126,0.9660067000077106
20260623_164252,option_b,7,1,200,0.36902351036667824,74,0.9684601609066368,0.8551682218634985,0.7015781922525107,1638400,1638400,3.9632927000056952,0.6093570000375621
20260623_164252,option_b,7,2,200,0.31631016202270984,103,0.977785889346613,0.8360488852381717,0.6624305003971406,1638400,1638400,3.9817058000480756,0.899938500020653
20260623_164252,option_b,8,0,200,0.5477198915928603,113,0.9482728611878776,0.8328480618516563,0.680461329715061,1638400,1638400,3.937617399962619,1.0737828999990597
20260623_164252,option_b,8,1,200,0.3690638819336891,74,0.9689880522812927,0.8587040345508562,0.714600146735143,1638400,1638400,4.016354999970645,0.627019300009124
20260623_164252,option_b,8,2,200,0.31175310410559176,103,0.9764547229609543,0.829582337303086,0.6566217287866772,1638400,1638400,3.97962679999182,0.8265591000090353
20260623_164252,option_b,9,0,200,0.5245694254338741,113,0.9488811910189631,0.8340412354764852,0.6772024209818427,1638400,1638400,3.8885663999826647,0.8709818000206724
20260623_164252,option_b,9,1,200,0.3709108203649521,74,0.9686209784477765,0.8571409948256602,0.7395993836671803,1638400,1638400,3.6758211000123993,0.6603940000059083
20260623_164252,option_b,9,2,200,0.3077146126329899,103,0.9780375652546743,0.8399636999941612,0.6768982229402262,1638400,1638400,3.6637762999744155,0.7732663999777287
20260623_164252,option_b,10,0,200,0.5334748508036137,113,0.948675442804402,0.8340555396313354,0.6757929883138565,1638400,1638400,3.7130200999672525,0.8755349999992177
20260623_164252,option_b,10,1,200,0.3566279097646475,74,0.9693925462628855,0.858630459632072,0.7097722263041881,1638400,1638400,3.690065099974163,0.5764812999987043
20260623_164252,option_b,10,2,200,0.318237038962543,103,0.9771800565492228,0.8357420981955879,0.6607858861267041,1638400,1638400,4.141486899985466,0.86896589997923
