run_id,mode,round,client_id,train_batches,train_loss,val_batches,val_auroc,val_auprc,val_f1,activation_bytes,gradient_bytes,train_duration_sec,val_duration_sec
20260506_161324,option_b,1,0,200,1.135361213684082,100,0.95148730024233,0.8356757903779563,0.40553359683794465,1638400,1638400,346.88859570003115,61.12060480006039
20260506_161324,option_b,1,1,200,0.7170575818419457,74,0.9636142517306817,0.8556660542876124,0.5841526894158473,1638400,1638400,314.25872310006525,43.475663299905136
20260506_161324,option_b,1,2,200,0.6767341814935207,100,0.9749082829417496,0.8360226479737655,0.5901639344262295,1638400,1638400,315.0418259999715,58.912344999960624
20260506_161324,option_b,2,0,200,0.695418384373188,100,0.9447980271982186,0.8215381209917335,0.6340117281821318,1638400,1638400,311.7384331000503,57.798548899940215
20260506_161324,option_b,2,1,200,0.5417721854150295,74,0.9669593456819822,0.8496906194283327,0.7015250544662309,1638400,1638400,310.5740184999304,43.360758000053465
20260506_161324,option_b,2,2,200,0.4449270795285702,100,0.9748843096001055,0.8183240568362957,0.6308411214953271,1638400,1638400,310.5396578999935,57.72065829997882
20260506_161324,option_b,3,0,200,0.57985027089715,100,0.9448997142810097,0.824896681742429,0.6707410236822001,1638400,1638400,316.46950819995254,61.19814980006777
20260506_161324,option_b,3,1,200,0.443633114695549,74,0.9666323648642627,0.8490545048959888,0.7224278312361214,1638400,1638400,324.44889279990457,45.82731760002207
20260506_161324,option_b,3,2,200,0.3672508152574301,100,0.9775209966517233,0.8274650165030534,0.6470119521912351,1638400,1638400,322.64363049995154,60.76048779999837
20260506_161324,option_b,4,0,200,0.5809124647080899,100,0.9466999556159404,0.8283920145437599,0.6776796004610065,1638400,1638400,326.070793800056,61.22414950001985
20260506_161324,option_b,4,1,200,0.4168861724436283,74,0.9661851049991538,0.849844211273128,0.7132352941176471,1638400,1638400,324.64564180001616,45.753523600054905
20260506_161324,option_b,4,2,200,0.33791334070265294,100,0.9773649796664204,0.8296847686543685,0.6348709929632526,1638400,1638400,326.7354785000207,61.86057510005776
20260506_161324,option_b,5,0,200,0.5506730601191521,100,0.9475926125962792,0.8297024713846077,0.6838006230529595,1638400,1638400,326.00273590011057,62.84881129988935
20260506_161324,option_b,5,1,200,0.3903477280586958,74,0.9676605279804703,0.8543296573598014,0.7431693989071039,1638400,1638400,324.6624254999915,45.17865629994776
20260506_161324,option_b,5,2,200,0.3146924363821745,100,0.978082277269581,0.8363377288190866,0.6858638743455497,1638400,1638400,324.35090179997496,61.30830899998546
